Year,NLF_COUNTY_CD,CRASH_TYPE_CD,ODPS_TOTAL_FATALITIES_NBR,INCAPAC_INJURIES_NBR,NON_INCAPAC_INJURIES_NBR,POSSIBLE_INJURIES_NBR,NO_INJURY_REPORTED_NBR,CRASH_COUNT
2019,CRA,Rear End,0,0,0,0,7,2
2019,CRA,Angle,0,0,0,0,0,0
2019,CRA,Animal,0,0,0,0,0,0
2019,CRA,Backing,0,0,0,0,0,0
2019,CRA,Fixed Object,0,0,0,0,0,0
2019,CRA,Head On,0,0,0,0,0,0
2019,CRA,Left Turn,0,0,0,0,0,0
2019,CRA,Other Non-Collision,0,0,0,0,0,0
2019,CRA,Other Object,0,0,0,0,0,0
2019,CRA,Overturning,0,0,0,0,0,0
2019,CRA,Parked Vehicle,0,0,0,0,0,0
2019,CRA,Pedalcycles,0,0,0,0,0,0
2019,CRA,Pedestrian,0,0,0,0,0,0
2019,CRA,Right Turn,0,0,0,0,0,0
2019,CRA,Sideswipe - Meeting,0,0,0,0,0,0
2019,CRA,Sideswipe - Passing,0,0,0,0,0,0
2019,CRA,Train,0,0,0,0,0,0
2019,CRA,Unknown,0,0,0,0,0,0
2019,CRA,Falling From Or In Vehicle,0,0,0,0,0,0
2019,CRA,Other Non-Vehicle,0,0,0,0,0,0
2019,CRA,Motorized,0,0,0,0,7,2
2019,CRA,Non-motorized,0,0,0,0,0,0
2019,DEL,Rear End,1,8,170,308,3415,1268
2019,DEL,Angle,2,15,184,140,1139,507
2019,DEL,Animal,0,1,6,16,419,322
2019,DEL,Backing,0,0,2,4,263,131
2019,DEL,Fixed Object,4,22,122,62,648,640
2019,DEL,Head On,0,7,41,31,158,65
2019,DEL,Left Turn,0,8,76,66,486,229
2019,DEL,Other Non-Collision,0,0,5,3,80,60
2019,DEL,Other Object,0,0,0,2,56,29
2019,DEL,Overturning,0,3,10,4,7,19
2019,DEL,Parked Vehicle,0,3,5,3,128,116
2019,DEL,Pedalcycles,3,5,10,5,38,25
2019,DEL,Pedestrian,1,6,14,7,34,25
2019,DEL,Right Turn,0,0,11,17,323,111
2019,DEL,Sideswipe - Meeting,1,0,2,0,19,7
2019,DEL,Sideswipe - Passing,0,1,42,46,1170,432
2019,DEL,Train,1,0,0,0,1,1
2019,DEL,Unknown,0,0,0,1,36,22
2019,DEL,Falling From Or In Vehicle,0,0,0,0,0,0
2019,DEL,Other Non-Vehicle,0,0,0,0,0,0
2019,DEL,Motorized,9,68,676,703,8348,3959
2019,DEL,Non-motorized,4,11,24,12,72,50
2019,FAI,Rear End,1,4,146,118,1853,702
2019,FAI,Angle,1,19,149,121,947,431
2019,FAI,Animal,0,0,6,2,183,130
2019,FAI,Backing,0,1,1,5,254,123
2019,FAI,Fixed Object,3,23,114,61,459,509
2019,FAI,Head On,6,21,37,24,84,61
2019,FAI,Left Turn,5,8,61,46,504,199
2019,FAI,Other Non-Collision,0,3,2,0,39,30
2019,FAI,Other Object,0,0,0,0,9,6
2019,FAI,Overturning,0,4,14,7,17,35
2019,FAI,Parked Vehicle,0,0,11,7,147,138
2019,FAI,Pedalcycles,0,2,8,2,15,12
2019,FAI,Pedestrian,0,8,15,5,36,25
2019,FAI,Right Turn,0,0,11,5,329,104
2019,FAI,Sideswipe - Meeting,0,0,0,0,0,0
2019,FAI,Sideswipe - Passing,0,5,37,23,736,305
2019,FAI,Train,0,0,0,0,0,0
2019,FAI,Unknown,0,1,2,0,11,9
2019,FAI,Falling From Or In Vehicle,0,0,0,0,0,0
2019,FAI,Other Non-Vehicle,0,0,0,0,0,0
2019,FAI,Motorized,16,89,591,419,5572,2782
2019,FAI,Non-motorized,0,10,23,7,51,37
