Year,NLF_COUNTY_CD,CRASH_TYPE_CD,ODPS_TOTAL_FATALITIES_NBR,INCAPAC_INJURIES_NBR,NON_INCAPAC_INJURIES_NBR,POSSIBLE_INJURIES_NBR,NO_INJURY_REPORTED_NBR,CRASH_COUNT
2019,Crawford,Rear End,0,0,0,0,7,2
2019,Crawford,Angle,0,0,0,0,0,0
2019,Crawford,Animal,0,0,0,0,0,0
2019,Crawford,Backing,0,0,0,0,0,0
2019,Crawford,Fixed Object,0,0,0,0,0,0
2019,Crawford,Head On,0,0,0,0,0,0
2019,Crawford,Left Turn,0,0,0,0,0,0
2019,Crawford,Other Non-Collision,0,0,0,0,0,0
2019,Crawford,Other Object,0,0,0,0,0,0
2019,Crawford,Overturning,0,0,0,0,0,0
2019,Crawford,Parked Vehicle,0,0,0,0,0,0
2019,Crawford,Pedalcycles,0,0,0,0,0,0
2019,Crawford,Pedestrian,0,0,0,0,0,0
2019,Crawford,Right Turn,0,0,0,0,0,0
2019,Crawford,Sideswipe - Meeting,0,0,0,0,0,0
2019,Crawford,Sideswipe - Passing,0,0,0,0,0,0
2019,Crawford,Train,0,0,0,0,0,0
2019,Crawford,Unknown,0,0,0,0,0,0
2019,Crawford,Falling From Or In Vehicle,0,0,0,0,0,0
2019,Crawford,Other Non-Vehicle,0,0,0,0,0,0
2019,Crawford,Motorized,0,0,0,0,7,2
2019,Crawford,Non-motorized,0,0,0,0,0,0
2019,Delaware,Rear End,1,8,170,308,3415,1268
2019,Delaware,Angle,2,15,184,140,1139,507
2019,Delaware,Animal,0,1,6,16,419,322
2019,Delaware,Backing,0,0,2,4,263,131
2019,Delaware,Fixed Object,4,22,122,62,648,640
2019,Delaware,Head On,0,7,41,31,158,65
2019,Delaware,Left Turn,0,8,76,66,486,229
2019,Delaware,Other Non-Collision,0,0,5,3,80,60
2019,Delaware,Other Object,0,0,0,2,56,29
2019,Delaware,Overturning,0,3,10,4,7,19
2019,Delaware,Parked Vehicle,0,3,5,3,128,116
2019,Delaware,Pedalcycles,3,5,10,5,38,25
2019,Delaware,Pedestrian,1,6,14,7,34,25
2019,Delaware,Right Turn,0,0,11,17,323,111
2019,Delaware,Sideswipe - Meeting,1,0,2,0,19,7
2019,Delaware,Sideswipe - Passing,0,1,42,46,1170,432
2019,Delaware,Train,1,0,0,0,1,1
2019,Delaware,Unknown,0,0,0,1,36,22
2019,Delaware,Falling From Or In Vehicle,0,0,0,0,0,0
2019,Delaware,Other Non-Vehicle,0,0,0,0,0,0
2019,Delaware,Motorized,9,68,676,703,8348,3959
2019,Delaware,Non-motorized,4,11,24,12,72,50
2019,Fairfield,Rear End,1,4,146,118,1853,702
2019,Fairfield,Angle,1,19,149,121,947,431
2019,Fairfield,Animal,0,0,6,2,183,130
2019,Fairfield,Backing,0,1,1,5,254,123
2019,Fairfield,Fixed Object,3,23,114,61,459,509
2019,Fairfield,Head On,6,21,37,24,84,61
2019,Fairfield,Left Turn,5,8,61,46,504,199
2019,Fairfield,Other Non-Collision,0,3,2,0,39,30
2019,Fairfield,Other Object,0,0,0,0,9,6
2019,Fairfield,Overturning,0,4,14,7,17,35
2019,Fairfield,Parked Vehicle,0,0,11,7,147,138
2019,Fairfield,Pedalcycles,0,2,8,2,15,12
2019,Fairfield,Pedestrian,0,8,15,5,36,25
2019,Fairfield,Right Turn,0,0,11,5,329,104
2019,Fairfield,Sideswipe - Meeting,0,0,0,0,0,0
2019,Fairfield,Sideswipe - Passing,0,5,37,23,736,305
2019,Fairfield,Train,0,0,0,0,0,0
2019,Fairfield,Unknown,0,1,2,0,11,9
2019,Fairfield,Falling From Or In Vehicle,0,0,0,0,0,0
2019,Fairfield,Other Non-Vehicle,0,0,0,0,0,0
2019,Fairfield,Motorized,16,89,591,419,5572,2782
2019,Fairfield,Non-motorized,0,10,23,7,51,37
2019,Franklin,Rear End,6,94,1867,2364,26809,10342
2019,Franklin,Angle,4,148,1563,1216,11414,4945
2019,Franklin,Animal,0,1,11,12,327,234
2019,Franklin,Backing,0,0,26,27,2450,1222
2019,Franklin,Fixed Object,30,130,628,404,2777,3100
2019,Franklin,Head On,12,58,279,163,1070,541
2019,Franklin,Left Turn,11,72,833,570,5279,2307
2019,Franklin,Other Non-Collision,3,12,54,33,238,264
2019,Franklin,Other Object,0,2,9,9,111,107
2019,Franklin,Overturning,5,9,67,12,24,83
2019,Franklin,Parked Vehicle,3,14,151,93,3190,2611
2019,Franklin,Pedalcycles,5,18,136,47,318,233
2019,Franklin,Pedestrian,25,87,328,114,661,529
2019,Franklin,Right Turn,2,10,136,128,2985,1125
2019,Franklin,Sideswipe - Meeting,0,0,1,0,34,12
2019,Franklin,Sideswipe - Passing,2,60,625,601,15697,6432
2019,Franklin,Train,0,0,0,0,0,0
2019,Franklin,Unknown,1,3,16,3,169,122
2019,Franklin,Falling From Or In Vehicle,0,0,0,1,1,1
2019,Franklin,Other Non-Vehicle,0,0,0,0,0,0
2019,Franklin,Motorized,79,613,6266,5636,72575,33448
2019,Franklin,Non-motorized,30,105,464,161,979,762
2019,Hancock,Rear End,0,0,0,0,0,0
2019,Hancock,Angle,0,0,0,0,0,0
2019,Hancock,Animal,0,0,0,0,0,0
2019,Hancock,Backing,0,0,0,0,0,0
2019,Hancock,Fixed Object,0,0,0,0,1,1
2019,Hancock,Head On,0,0,0,0,0,0
2019,Hancock,Left Turn,0,0,0,0,0,0
2019,Hancock,Other Non-Collision,0,0,0,0,0,0
2019,Hancock,Other Object,0,0,0,0,0,0
2019,Hancock,Overturning,0,0,0,0,0,0
2019,Hancock,Parked Vehicle,0,0,0,0,0,0
2019,Hancock,Pedalcycles,0,0,0,0,0,0
2019,Hancock,Pedestrian,0,0,0,0,0,0
2019,Hancock,Right Turn,0,0,0,0,0,0
2019,Hancock,Sideswipe - Meeting,0,0,0,0,0,0
2019,Hancock,Sideswipe - Passing,0,0,0,0,0,0
2019,Hancock,Train,0,0,0,0,0,0
2019,Hancock,Unknown,0,0,0,0,0,0
2019,Hancock,Falling From Or In Vehicle,0,0,0,0,0,0
2019,Hancock,Other Non-Vehicle,0,0,0,0,0,0
2019,Hancock,Motorized,0,0,0,0,1,1
2019,Hancock,Non-motorized,0,0,0,0,0,0
2019,Knox,Rear End,0,3,47,45,466,193
2019,Knox,Angle,0,4,29,30,298,127
2019,Knox,Animal,0,2,6,7,258,207
2019,Knox,Backing,0,0,2,1,128,61
2019,Knox,Fixed Object,4,18,71,37,310,368
2019,Knox,Head On,2,8,11,11,51,28
2019,Knox,Left Turn,0,1,19,9,156,68
2019,Knox,Other Non-Collision,0,0,0,0,12,12
2019,Knox,Other Object,0,0,0,0,6,4
2019,Knox,Overturning,1,1,8,2,14,18
2019,Knox,Parked Vehicle,0,0,6,3,44,37
2019,Knox,Pedalcycles,0,1,1,3,6,5
2019,Knox,Pedestrian,0,2,3,1,4,4
2019,Knox,Right Turn,0,0,3,3,48,20
2019,Knox,Sideswipe - Meeting,0,0,0,0,0,0
2019,Knox,Sideswipe - Passing,0,2,10,2,169,72
2019,Knox,Train,0,0,0,0,0,0
2019,Knox,Unknown,0,0,0,1,10,9
2019,Knox,Falling From Or In Vehicle,0,0,0,0,0,0
2019,Knox,Other Non-Vehicle,0,0,0,0,0,0
2019,Knox,Motorized,7,39,212,151,1970,1224
2019,Knox,Non-motorized,0,3,4,4,10,9
2019,Licking,Rear End,4,7,159,174,2321,934
2019,Licking,Angle,1,23,158,104,1132,484
2019,Licking,Animal,0,3,15,14,349,271
2019,Licking,Backing,0,1,2,3,287,147
2019,Licking,Fixed Object,11,23,133,74,714,765
2019,Licking,Head On,6,10,36,17,88,55
2019,Licking,Left Turn,1,4,43,33,542,212
2019,Licking,Other Non-Collision,0,1,12,8,58,63
2019,Licking,Other Object,0,0,0,2,25,18
2019,Licking,Overturning,2,7,14,14,28,49
2019,Licking,Parked Vehicle,0,0,12,2,164,130
2019,Licking,Pedalcycles,1,2,13,3,24,18
2019,Licking,Pedestrian,0,2,7,2,23,13
2019,Licking,Right Turn,0,5,11,8,271,94
2019,Licking,Sideswipe - Meeting,0,0,0,0,2,1
2019,Licking,Sideswipe - Passing,0,6,32,43,928,392
2019,Licking,Train,0,0,0,0,4,1
2019,Licking,Unknown,0,0,1,0,11,11
2019,Licking,Falling From Or In Vehicle,0,0,0,0,0,0
2019,Licking,Other Non-Vehicle,0,0,0,0,0,0
2019,Licking,Motorized,25,90,628,496,6924,3627
2019,Licking,Non-motorized,1,4,20,5,47,31
2019,Madison,Rear End,0,11,68,86,526,211
2019,Madison,Angle,1,10,35,32,196,97
2019,Madison,Animal,0,0,4,3,187,92
2019,Madison,Backing,0,0,1,0,69,40
2019,Madison,Fixed Object,3,13,70,19,325,349
2019,Madison,Head On,0,3,8,6,31,17
2019,Madison,Left Turn,0,1,13,10,94,42
2019,Madison,Other Non-Collision,0,2,2,3,38,32
2019,Madison,Other Object,0,0,0,0,27,19
2019,Madison,Overturning,2,1,10,0,4,13
2019,Madison,Parked Vehicle,0,0,5,0,39,37
2019,Madison,Pedalcycles,0,1,2,0,4,3
2019,Madison,Pedestrian,0,4,4,1,9,8
2019,Madison,Right Turn,0,0,5,1,35,16
2019,Madison,Sideswipe - Meeting,0,0,0,0,2,1
2019,Madison,Sideswipe - Passing,0,5,28,28,391,177
2019,Madison,Train,0,0,0,0,0,0
2019,Madison,Unknown,0,0,1,2,53,27
2019,Madison,Falling From Or In Vehicle,0,0,0,0,0,0
2019,Madison,Other Non-Vehicle,0,0,0,0,0,0
2019,Madison,Motorized,6,46,250,190,2017,1170
2019,Madison,Non-motorized,0,5,6,1,13,11
2019,Marion,Rear End,0,2,99,59,763,315
2019,Marion,Angle,3,15,120,71,503,251
2019,Marion,Animal,0,1,7,8,320,233
2019,Marion,Backing,0,0,2,2,117,66
2019,Marion,Fixed Object,4,11,67,29,290,325
2019,Marion,Head On,0,4,8,8,39,22
2019,Marion,Left Turn,0,3,24,12,147,70
2019,Marion,Other Non-Collision,0,0,1,2,31,28
2019,Marion,Other Object,0,0,0,0,24,15
2019,Marion,Overturning,0,1,4,3,5,10
2019,Marion,Parked Vehicle,0,2,4,1,66,65
2019,Marion,Pedalcycles,0,0,7,1,11,9
2019,Marion,Pedestrian,1,0,9,1,19,13
2019,Marion,Right Turn,0,0,6,5,94,41
2019,Marion,Sideswipe - Meeting,0,0,0,0,0,0
2019,Marion,Sideswipe - Passing,0,1,14,24,386,175
2019,Marion,Train,0,0,1,0,2,1
2019,Marion,Unknown,0,0,1,0,24,16
2019,Marion,Falling From Or In Vehicle,0,0,0,0,0,0
2019,Marion,Other Non-Vehicle,0,0,0,0,0,0
2019,Marion,Motorized,7,40,358,224,2811,1633
2019,Marion,Non-motorized,1,0,16,2,30,22
2019,Morrow,Rear End,0,7,35,28,298,108
2019,Morrow,Angle,0,6,48,26,136,69
2019,Morrow,Animal,0,0,8,8,245,185
2019,Morrow,Backing,0,0,2,1,87,21
2019,Morrow,Fixed Object,5,8,43,41,342,313
2019,Morrow,Head On,0,4,2,7,73,25
2019,Morrow,Left Turn,0,4,28,12,115,42
2019,Morrow,Other Non-Collision,0,0,0,0,25,17
2019,Morrow,Other Object,0,0,1,0,19,13
2019,Morrow,Overturning,0,3,6,8,8,17
2019,Morrow,Parked Vehicle,0,0,0,0,10,8
2019,Morrow,Pedalcycles,0,1,2,1,4,4
2019,Morrow,Pedestrian,1,1,1,1,1,2
2019,Morrow,Right Turn,0,2,2,5,32,15
2019,Morrow,Sideswipe - Meeting,0,0,0,0,0,0
2019,Morrow,Sideswipe - Passing,0,1,26,10,285,100
2019,Morrow,Train,0,0,0,0,0,0
2019,Morrow,Unknown,0,0,2,3,17,13
2019,Morrow,Falling From Or In Vehicle,0,0,0,0,0,0
2019,Morrow,Other Non-Vehicle,0,0,0,0,0,0
2019,Morrow,Motorized,5,35,203,149,1692,946
2019,Morrow,Non-motorized,1,2,3,2,5,6
2019,Pickaway,Rear End,0,7,60,65,631,253
2019,Pickaway,Angle,2,15,51,28,262,128
2019,Pickaway,Animal,0,0,4,5,234,173
2019,Pickaway,Backing,0,0,1,3,85,49
2019,Pickaway,Fixed Object,4,21,89,43,353,384
2019,Pickaway,Head On,3,6,12,7,43,23
2019,Pickaway,Left Turn,1,4,28,15,173,70
2019,Pickaway,Other Non-Collision,0,1,5,0,43,36
2019,Pickaway,Other Object,0,1,1,1,13,13
2019,Pickaway,Overturning,1,0,6,2,7,14
2019,Pickaway,Parked Vehicle,0,1,2,2,41,35
2019,Pickaway,Pedalcycles,0,0,5,1,7,6
2019,Pickaway,Pedestrian,3,1,5,1,5,6
2019,Pickaway,Right Turn,1,0,6,3,37,19
2019,Pickaway,Sideswipe - Meeting,0,0,0,0,0,0
2019,Pickaway,Sideswipe - Passing,0,2,8,17,304,117
2019,Pickaway,Train,0,0,0,0,0,0
2019,Pickaway,Unknown,0,1,0,1,28,20
2019,Pickaway,Falling From Or In Vehicle,0,0,0,0,0,0
2019,Pickaway,Other Non-Vehicle,0,0,0,0,0,0
2019,Pickaway,Motorized,12,59,273,192,2254,1334
2019,Pickaway,Non-motorized,3,1,10,2,12,12
2019,Richland,Rear End,0,0,0,0,0,0
2019,Richland,Angle,0,0,0,0,0,0
2019,Richland,Animal,0,0,0,0,2,1
2019,Richland,Backing,0,0,0,0,0,0
2019,Richland,Fixed Object,0,0,0,0,0,0
2019,Richland,Head On,0,0,0,0,0,0
2019,Richland,Left Turn,0,0,0,0,0,0
2019,Richland,Other Non-Collision,0,0,0,0,0,0
2019,Richland,Other Object,0,0,0,0,0,0
2019,Richland,Overturning,0,0,0,0,0,0
2019,Richland,Parked Vehicle,0,0,0,0,0,0
2019,Richland,Pedalcycles,0,0,0,0,0,0
2019,Richland,Pedestrian,0,0,0,0,0,0
2019,Richland,Right Turn,0,0,0,0,0,0
2019,Richland,Sideswipe - Meeting,0,0,0,0,0,0
2019,Richland,Sideswipe - Passing,0,0,0,0,0,0
2019,Richland,Train,0,0,0,0,0,0
2019,Richland,Unknown,0,0,0,0,0,0
2019,Richland,Falling From Or In Vehicle,0,0,0,0,0,0
2019,Richland,Other Non-Vehicle,0,0,0,0,0,0
2019,Richland,Motorized,0,0,0,0,2,1
2019,Richland,Non-motorized,0,0,0,0,0,0
2019,Ross,Rear End,0,0,0,0,0,0
2019,Ross,Angle,0,0,1,0,1,1
2019,Ross,Animal,0,0,0,0,0,0
2019,Ross,Backing,0,0,0,0,0,0
2019,Ross,Fixed Object,0,0,0,0,0,0
2019,Ross,Head On,0,0,0,0,0,0
2019,Ross,Left Turn,0,0,0,0,0,0
2019,Ross,Other Non-Collision,0,0,0,0,0,0
2019,Ross,Other Object,0,0,0,0,0,0
2019,Ross,Overturning,0,0,0,0,0,0
2019,Ross,Parked Vehicle,0,0,0,0,0,0
2019,Ross,Pedalcycles,0,0,0,0,0,0
2019,Ross,Pedestrian,0,0,0,0,0,0
2019,Ross,Right Turn,0,0,0,0,0,0
2019,Ross,Sideswipe - Meeting,0,0,0,0,0,0
2019,Ross,Sideswipe - Passing,0,0,0,0,0,0
2019,Ross,Train,0,0,0,0,0,0
2019,Ross,Unknown,0,0,0,0,0,0
2019,Ross,Falling From Or In Vehicle,0,0,0,0,0,0
2019,Ross,Other Non-Vehicle,0,0,0,0,0,0
2019,Ross,Motorized,0,0,1,0,1,1
2019,Ross,Non-motorized,0,0,0,0,0,0
2019,Union,Rear End,1,2,45,80,661,279
2019,Union,Angle,0,12,47,47,276,138
2019,Union,Animal,0,1,12,7,293,224
2019,Union,Backing,0,0,0,2,73,37
2019,Union,Fixed Object,0,9,34,21,236,252
2019,Union,Head On,0,2,5,3,35,15
2019,Union,Left Turn,1,1,12,13,102,47
2019,Union,Other Non-Collision,0,0,4,2,25,28
2019,Union,Other Object,0,0,0,0,12,5
2019,Union,Overturning,0,3,10,3,1,14
2019,Union,Parked Vehicle,0,0,0,4,43,35
2019,Union,Pedalcycles,0,0,2,0,6,3
2019,Union,Pedestrian,1,0,0,2,5,4
2019,Union,Right Turn,0,0,2,3,86,34
2019,Union,Sideswipe - Meeting,0,0,0,0,0,0
2019,Union,Sideswipe - Passing,0,1,12,28,362,143
2019,Union,Train,0,0,0,0,0,0
2019,Union,Unknown,0,0,0,0,10,7
2019,Union,Falling From Or In Vehicle,0,0,0,0,0,0
2019,Union,Other Non-Vehicle,0,0,0,0,0,0
2019,Union,Motorized,2,31,183,213,2215,1258
2019,Union,Non-motorized,1,0,2,2,11,7
2019,Hardin,Rear End,0,0,0,0,0,0
2019,Hardin,Angle,0,0,0,0,0,0
2019,Hardin,Animal,0,0,0,0,0,0
2019,Hardin,Backing,0,0,0,0,0,0
2019,Hardin,Fixed Object,0,0,0,0,0,0
2019,Hardin,Head On,0,0,0,0,0,0
2019,Hardin,Left Turn,0,0,0,0,0,0
2019,Hardin,Other Non-Collision,0,0,0,0,0,0
2019,Hardin,Other Object,0,0,0,0,0,0
2019,Hardin,Overturning,0,0,0,0,0,0
2019,Hardin,Parked Vehicle,0,0,0,0,0,0
2019,Hardin,Pedalcycles,0,0,0,0,0,0
2019,Hardin,Pedestrian,0,0,0,0,0,0
2019,Hardin,Right Turn,0,0,0,0,0,0
2019,Hardin,Sideswipe - Meeting,0,0,0,0,0,0
2019,Hardin,Sideswipe - Passing,0,0,0,0,0,0
2019,Hardin,Train,0,0,0,0,0,0
2019,Hardin,Unknown,0,0,0,0,0,0
2019,Hardin,Falling From Or In Vehicle,0,0,0,0,0,0
2019,Hardin,Other Non-Vehicle,0,0,0,0,0,0
2019,Hardin,Motorized,0,0,0,0,0,0
2019,Hardin,Non-motorized,0,0,0,0,0,0
2019,Montgomery,Rear End,0,0,0,0,0,0
2019,Montgomery,Angle,0,0,0,0,0,0
2019,Montgomery,Animal,0,0,0,0,0,0
2019,Montgomery,Backing,0,0,0,0,0,0
2019,Montgomery,Fixed Object,0,0,0,0,0,0
2019,Montgomery,Head On,0,0,0,0,0,0
2019,Montgomery,Left Turn,0,0,0,0,0,0
2019,Montgomery,Other Non-Collision,0,0,0,0,0,0
2019,Montgomery,Other Object,0,0,0,0,0,0
2019,Montgomery,Overturning,0,0,0,0,0,0
2019,Montgomery,Parked Vehicle,0,0,0,0,0,0
2019,Montgomery,Pedalcycles,0,0,0,0,0,0
2019,Montgomery,Pedestrian,0,0,0,0,0,0
2019,Montgomery,Right Turn,0,0,0,0,0,0
2019,Montgomery,Sideswipe - Meeting,0,0,0,0,0,0
2019,Montgomery,Sideswipe - Passing,0,0,0,0,0,0
2019,Montgomery,Train,0,0,0,0,0,0
2019,Montgomery,Unknown,0,0,0,0,0,0
2019,Montgomery,Falling From Or In Vehicle,0,0,0,0,0,0
2019,Montgomery,Other Non-Vehicle,0,0,0,0,0,0
2019,Montgomery,Motorized,0,0,0,0,0,0
2019,Montgomery,Non-motorized,0,0,0,0,0,0
2019,Perry,Rear End,0,0,0,0,0,0
2019,Perry,Angle,0,0,0,0,0,0
2019,Perry,Animal,0,0,0,0,0,0
2019,Perry,Backing,0,0,0,0,0,0
2019,Perry,Fixed Object,0,0,0,0,0,0
2019,Perry,Head On,0,0,0,0,0,0
2019,Perry,Left Turn,0,0,0,0,0,0
2019,Perry,Other Non-Collision,0,0,0,0,0,0
2019,Perry,Other Object,0,0,0,0,0,0
2019,Perry,Overturning,0,0,0,0,0,0
2019,Perry,Parked Vehicle,0,0,0,0,0,0
2019,Perry,Pedalcycles,0,0,0,0,0,0
2019,Perry,Pedestrian,0,0,0,0,0,0
2019,Perry,Right Turn,0,0,0,0,0,0
2019,Perry,Sideswipe - Meeting,0,0,0,0,0,0
2019,Perry,Sideswipe - Passing,0,0,0,0,0,0
2019,Perry,Train,0,0,0,0,0,0
2019,Perry,Unknown,0,0,0,0,0,0
2019,Perry,Falling From Or In Vehicle,0,0,0,0,0,0
2019,Perry,Other Non-Vehicle,0,0,0,0,0,0
2019,Perry,Motorized,0,0,0,0,0,0
2019,Perry,Non-motorized,0,0,0,0,0,0
2019,Portage,Rear End,0,0,0,0,0,0
2019,Portage,Angle,0,0,0,0,0,0
2019,Portage,Animal,0,0,0,0,0,0
2019,Portage,Backing,0,0,0,0,0,0
2019,Portage,Fixed Object,0,0,0,0,0,0
2019,Portage,Head On,0,0,0,0,0,0
2019,Portage,Left Turn,0,0,0,0,0,0
2019,Portage,Other Non-Collision,0,0,0,0,0,0
2019,Portage,Other Object,0,0,0,0,0,0
2019,Portage,Overturning,0,0,0,0,0,0
2019,Portage,Parked Vehicle,0,0,0,0,0,0
2019,Portage,Pedalcycles,0,0,0,0,0,0
2019,Portage,Pedestrian,0,0,0,0,0,0
2019,Portage,Right Turn,0,0,0,0,0,0
2019,Portage,Sideswipe - Meeting,0,0,0,0,0,0
2019,Portage,Sideswipe - Passing,0,0,0,0,0,0
2019,Portage,Train,0,0,0,0,0,0
2019,Portage,Unknown,0,0,0,0,0,0
2019,Portage,Falling From Or In Vehicle,0,0,0,0,0,0
2019,Portage,Other Non-Vehicle,0,0,0,0,0,0
2019,Portage,Motorized,0,0,0,0,0,0
2019,Portage,Non-motorized,0,0,0,0,0,0
2019,Wyandot,Rear End,0,0,0,0,0,0
2019,Wyandot,Angle,0,0,0,0,0,0
2019,Wyandot,Animal,0,0,0,0,0,0
2019,Wyandot,Backing,0,0,0,0,0,0
2019,Wyandot,Fixed Object,0,0,0,0,0,0
2019,Wyandot,Head On,0,0,0,0,0,0
2019,Wyandot,Left Turn,0,0,0,0,0,0
2019,Wyandot,Other Non-Collision,0,0,0,0,0,0
2019,Wyandot,Other Object,0,0,0,0,0,0
2019,Wyandot,Overturning,0,0,0,0,0,0
2019,Wyandot,Parked Vehicle,0,0,0,0,0,0
2019,Wyandot,Pedalcycles,0,0,0,0,0,0
2019,Wyandot,Pedestrian,0,0,0,0,0,0
2019,Wyandot,Right Turn,0,0,0,0,0,0
2019,Wyandot,Sideswipe - Meeting,0,0,0,0,0,0
2019,Wyandot,Sideswipe - Passing,0,0,0,0,0,0
2019,Wyandot,Train,0,0,0,0,0,0
2019,Wyandot,Unknown,0,0,0,0,0,0
2019,Wyandot,Falling From Or In Vehicle,0,0,0,0,0,0
2019,Wyandot,Other Non-Vehicle,0,0,0,0,0,0
2019,Wyandot,Motorized,0,0,0,0,0,0
2019,Wyandot,Non-motorized,0,0,0,0,0,0
2019,Summit,Rear End,0,0,0,0,0,0
2019,Summit,Angle,0,0,0,0,0,0
2019,Summit,Animal,0,0,0,0,0,0
2019,Summit,Backing,0,0,0,0,0,0
2019,Summit,Fixed Object,0,0,0,0,0,0
2019,Summit,Head On,0,0,0,0,0,0
2019,Summit,Left Turn,0,0,0,0,0,0
2019,Summit,Other Non-Collision,0,0,0,0,0,0
2019,Summit,Other Object,0,0,0,0,0,0
2019,Summit,Overturning,0,0,0,0,0,0
2019,Summit,Parked Vehicle,0,0,0,0,0,0
2019,Summit,Pedalcycles,0,0,0,0,0,0
2019,Summit,Pedestrian,0,0,0,0,0,0
2019,Summit,Right Turn,0,0,0,0,0,0
2019,Summit,Sideswipe - Meeting,0,0,0,0,0,0
2019,Summit,Sideswipe - Passing,0,0,0,0,0,0
2019,Summit,Train,0,0,0,0,0,0
2019,Summit,Unknown,0,0,0,0,0,0
2019,Summit,Falling From Or In Vehicle,0,0,0,0,0,0
2019,Summit,Other Non-Vehicle,0,0,0,0,0,0
2019,Summit,Motorized,0,0,0,0,0,0
